Table 3. Failed properties of owl:ObjectProperty in the OBO dataset and CIDO,
OBO Library,#  Triples
http://usefulinc.com/ns/doap#bug-database,192
http://xmlns.com/foaf/0.1/mbox,240
http://usefulinc.com/ns/doap#mailing-list,28
http://purl.obolibrary.org/obo/IAO_0000136,2
http://www.w3.org/ns/dcat#accessURL,581
http://www.w3.org/2000/01/rdf-schema#seeAlso,2
http://purl.org/pav/createdWith,3
http://rdf-vocabulary.ddialliance.org/discovery#fundedBy,7
CIDO,#  Triples
http://purl.obolibrary.org/obo/UBPROP_0000002,1
http://purl.org/dc/terms/contributor,7
http://purl.org/dc/terms/source,2
http://xmlns.com/foaf/0.1/homepage,2
http://www.w3.org/2000/01/rdf-schema#seeAlso,563
http://www.w3.org/2004/02/skos/core#exactMatch,1
http://purl.obolibrary.org/obo/IAO_0000412,16
http://xmlns.com/foaf/0.1/page,9
http://purl.obolibrary.org/obo/UBPROP_0000001,19