,# Total,# Failure (%),# Total,# Failure (%),Failure reason
,OBO Library Dataset,,BFO,,
Availability,,,,,
Available URIs,1067,38 (4%),156,70 (45%),404 Not Found; 403 Forbidden;400 Bad Request
Predicates ,33,10 (30%),26,0,
Classes ,4,0,19,0,/
Consistency,,,,,
Classes correctly used as objects?,4,0,19,0,/
Properties correctly used as predicates?,23,0,26,0,/
Properties of owl:DatatypeProperty ,1,0,5,0,/
Properties of owl:ObjectProperty ,14,8 (57%),4,0,Their objects are literal
Representational-consistency,,,,,
URI of a class resolving to content concerning that class,4,0,19,0,/
URI of a predicate resolving to content concerning that predicate,23,5 (22%),26,0,Retrieved content is irrelevant to the given term